time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s,layer
2025-11-04 23:18:09,-108.5243,39.1197,856.4,1474,19.1,-2.5,-2.2,23,23,3.72,322,4.1,0
2025-11-04 23:18:10,-108.5242,39.1196,855.6,1483,18.9,-2.8,-2.5,23,23,3.63,336,7.4,0
2025-11-04 23:18:11,-108.5242,39.1195,854.8,1491,18.8,-3.2,-2.8,22,22,3.53,336,7.4,0
2025-11-04 23:18:12,-108.5241,39.1195,853.9,1499,18.6,-3.6,-3.2,22,22,3.43,336,7.4,0
2025-11-04 23:18:13,-108.5241,39.1194,853.1,1508,18.5,-4.0,-3.5,21,21,3.34,336,7.4,0
2025-11-04 23:18:14,-108.5241,39.1193,852.3,1516,18.3,-4.4,-3.9,21,21,3.25,336,7.4,0
2025-11-04 23:18:15,-108.524,39.1192,851.5,1524,18.2,-4.8,-4.2,21,21,3.15,336,7.3,0
2025-11-04 23:18:16,-108.524,39.1191,850.8,1534,18.0,-5.2,-4.6,20,20,3.06,337,7.2,0
2025-11-04 23:18:17,-108.5239,39.1191,850.0,1543,18.0,-5.2,-4.6,20,20,3.06,337,7.1,0
2025-11-04 23:18:18,-108.5239,39.119,849.6,1546,18.0,-5.2,-4.6,20,20,3.06,337,7.0,0
2025-11-04 23:18:19,-108.5238,39.119,849.0,1551,17.9,-5.2,-4.6,20,20,3.06,337,6.9,0
2025-11-04 23:18:20,-108.5238,39.1189,848.4,1556,17.8,-5.2,-4.6,20,20,3.06,337,6.8,0
2025-11-04 23:18:21,-108.5238,39.1188,847.8,1561,17.8,-5.2,-4.6,20,20,3.07,337,6.7,0
2025-11-04 23:18:22,-108.5237,39.1188,847.4,1566,17.7,-5.2,-4.6,20,20,3.07,337,6.6,0
2025-11-04 23:18:23,-108.5237,39.1187,846.9,1570,17.7,-5.2,-4.6,21,21,3.07,338,6.5,0
2025-11-04 23:18:24,-108.5236,39.1186,846.4,1575,17.6,-5.2,-4.6,21,21,3.07,338,6.4,0
2025-11-04 23:18:25,-108.5236,39.1186,845.9,1580,17.6,-5.2,-4.6,21,21,3.07,338,6.4,0
2025-11-04 23:18:26,-108.5236,39.1185,845.4,1585,17.5,-5.2,-4.6,21,21,3.07,337,6.4,0
2025-11-04 23:18:27,-108.5235,39.1185,845.0,1590,17.5,-5.2,-4.6,21,21,3.07,337,6.4,0
2025-11-04 23:18:28,-108.5235,39.1184,844.4,1595,17.4,-5.2,-4.6,21,21,3.07,337,6.4,0
2025-11-04 23:18:29,-108.5235,39.1184,843.9,1599,17.4,-5.2,-4.6,21,21,3.07,337,6.4,0
2025-11-04 23:18:30,-108.5234,39.1183,843.4,1604,17.3,-5.2,-4.6,21,21,3.07,337,6.4,0
2025-11-04 23:18:31,-108.5234,39.1183,842.9,1610,17.3,-5.2,-4.6,21,21,3.07,336,6.4,0
2025-11-04 23:18:32,-108.5234,39.1182,842.4,1615,17.2,-5.3,-4.7,21,21,3.07,336,6.4,0
