time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s,layer
2025-11-05 23:16:00,-108.5243,39.1197,855.0,1474,19.1,-1.3,-1.1,25,25,4.07,289,2.1,0
2025-11-05 23:16:01,-108.5242,39.1197,854.1,1483,19.0,-1.8,-1.6,24,24,3.93,312,4.1,0
2025-11-05 23:16:02,-108.5242,39.1196,853.2,1492,18.8,-2.3,-2.0,24,24,3.8,312,4.1,0
2025-11-05 23:16:03,-108.5241,39.1196,852.4,1500,18.7,-2.7,-2.4,23,23,3.67,313,4.2,0
2025-11-05 23:16:04,-108.524,39.1195,851.5,1509,18.5,-3.2,-2.8,23,23,3.54,314,4.3,0
2025-11-05 23:16:05,-108.524,39.1195,850.6,1518,18.4,-3.7,-3.3,22,22,3.42,314,4.3,0
2025-11-05 23:16:06,-108.5239,39.1194,850.0,1524,18.3,-4.1,-3.6,22,22,3.33,314,4.4,0
2025-11-05 23:16:07,-108.5239,39.1194,849.1,1535,18.2,-4.6,-4.1,21,21,3.2,316,4.6,0
2025-11-05 23:16:08,-108.5238,39.1193,848.4,1544,18.2,-4.7,-4.1,21,21,3.19,317,4.7,0
2025-11-05 23:16:09,-108.5238,39.1193,847.7,1551,18.2,-4.7,-4.2,21,21,3.17,318,4.9,0
2025-11-05 23:16:10,-108.5237,39.1192,847.0,1557,18.1,-4.8,-4.3,21,21,3.16,319,5.0,0
2025-11-05 23:16:11,-108.5237,39.1192,846.4,1562,18.1,-4.9,-4.3,20,20,3.14,320,5.2,0
2025-11-05 23:16:12,-108.5236,39.1191,845.7,1568,18.1,-4.9,-4.4,20,20,3.13,321,5.3,0
2025-11-05 23:16:13,-108.5235,39.1191,845.2,1573,18.1,-5.0,-4.4,20,20,3.12,322,5.5,0
2025-11-05 23:16:14,-108.5235,39.1191,844.7,1578,18.1,-5.1,-4.5,20,20,3.1,323,5.7,0
2025-11-05 23:16:15,-108.5235,39.119,844.1,1583,18.0,-5.2,-4.6,20,20,3.09,324,5.8,0
2025-11-05 23:16:16,-108.5234,39.119,843.6,1589,18.0,-5.2,-4.6,20,20,3.07,324,5.8,0
2025-11-05 23:16:17,-108.5234,39.1189,843.1,1594,18.0,-5.3,-4.7,20,20,3.06,324,5.9,0
2025-11-05 23:16:18,-108.5234,39.1189,842.6,1599,18.0,-5.4,-4.8,20,20,3.04,325,5.9,0
2025-11-05 23:16:19,-108.5233,39.1189,842.1,1604,17.9,-5.4,-4.8,20,20,3.03,325,5.9,0
2025-11-05 23:16:20,-108.5233,39.1188,841.6,1609,17.9,-5.5,-4.9,20,20,3.01,325,5.9,0
2025-11-05 23:16:21,-108.5233,39.1188,841.0,1615,17.9,-5.6,-4.9,20,20,3.0,326,6.0,0
2025-11-05 23:16:22,-108.5232,39.1187,840.5,1620,17.8,-5.6,-5.0,20,20,2.99,326,6.0,0
2025-11-05 23:16:23,-108.5232,39.1187,840.0,1625,17.8,-5.7,-5.0,20,20,2.98,327,6.0,0
2025-11-05 23:16:24,-108.5232,39.1186,839.5,1630,17.7,-5.8,-5.1,20,20,2.97,327,6.1,0
2025-11-05 23:16:25,-108.5231,39.1186,838.9,1636,17.7,-5.8,-5.2,20,20,2.95,327,6.1,0
2025-11-05 23:16:26,-108.5231,39.1186,838.4,1642,17.6,-5.9,-5.2,20,20,2.94,328,6.1,0
2025-11-05 23:16:27,-108.5231,39.1185,837.8,1647,17.6,-5.9,-5.3,20,20,2.93,328,6.1,0
2025-11-05 23:16:28,-108.523,39.1185,837.3,1653,17.6,-6.0,-5.3,19,19,2.92,328,6.2,0
2025-11-05 23:16:29,-108.523,39.1184,836.7,1659,17.5,-6.1,-5.4,19,19,2.91,328,6.1,0
2025-11-05 23:16:30,-108.523,39.1184,836.1,1665,17.5,-6.1,-5.4,19,19,2.89,329,6.1,0
2025-11-05 23:16:31,-108.5229,39.1183,835.6,1670,17.4,-6.2,-5.5,19,19,2.88,329,6.0,0
2025-11-05 23:16:32,-108.5229,39.1183,835.0,1676,17.4,-6.3,-5.5,19,19,2.87,329,5.9,0
2025-11-05 23:16:33,-108.5229,39.1183,834.4,1682,17.3,-6.3,-5.6,19,19,2.86,329,5.9,0
2025-11-05 23:16:34,-108.5228,39.1182,833.8,1688,17.3,-6.3,-5.6,19,19,2.85,329,5.8,0
2025-11-05 23:16:35,-108.5228,39.1182,833.3,1694,17.3,-6.4,-5.7,19,19,2.85,329,5.8,0
2025-11-05 23:16:36,-108.5228,39.1181,832.7,1700,17.2,-6.4,-5.7,19,19,2.84,329,5.7,0
2025-11-05 23:16:37,-108.5228,39.1181,832.1,1706,17.2,-6.5,-5.7,19,19,2.84,330,5.6,0
2025-11-05 23:16:38,-108.5227,39.118,831.5,1712,17.2,-6.5,-5.7,19,19,2.83,330,5.6,0
2025-11-05 23:16:39,-108.5227,39.118,830.9,1718,17.1,-6.5,-5.8,19,19,2.82,330,5.5,0
2025-11-05 23:16:40,-108.5227,39.118,830.4,1724,17.1,-6.6,-5.8,19,19,2.82,330,5.5,0
2025-11-05 23:16:41,-108.5226,39.1179,829.8,1729,17.1,-6.6,-5.8,19,19,2.81,330,5.4,0
2025-11-05 23:16:42,-108.5226,39.1179,829.2,1735,17.0,-6.6,-5.9,19,19,2.81,330,5.4,0
2025-11-05 23:16:43,-108.5226,39.1178,828.6,1741,17.0,-6.7,-5.9,19,19,2.8,331,5.3,0
2025-11-05 23:16:44,-108.5225,39.1178,828.0,1747,17.0,-6.7,-5.9,19,19,2.8,331,5.2,0
2025-11-05 23:16:45,-108.5225,39.1178,827.5,1753,16.9,-6.7,-6.0,19,19,2.79,331,5.2,0
2025-11-05 23:16:46,-108.5225,39.1178,826.7,1760,16.9,-6.8,-6.0,19,19,2.78,331,5.0,0
2025-11-05 23:16:47,-108.5225,39.1178,826.3,1765,16.9,-6.8,-6.0,19,19,2.78,331,4.9,0
2025-11-05 23:16:48,-108.5225,39.1177,825.7,1772,16.8,-6.8,-6.0,19,19,2.78,332,4.7,0
2025-11-05 23:16:49,-108.5225,39.1177,825.0,1778,16.8,-6.8,-6.1,19,19,2.78,332,4.6,0
2025-11-05 23:16:50,-108.5225,39.1177,824.4,1785,16.7,-6.8,-6.1,19,19,2.78,332,4.4,0
2025-11-05 23:16:51,-108.5225,39.1177,823.7,1792,16.7,-6.9,-6.1,19,19,2.78,333,4.3,0
2025-11-05 23:16:52,-108.5225,39.1177,822.9,1800,16.7,-6.9,-6.1,19,19,2.77,333,4.1,0
2025-11-05 23:16:53,-108.5225,39.1177,822.4,1805,16.6,-6.9,-6.1,19,19,2.77,334,4.0,0
2025-11-05 23:16:54,-108.5225,39.1176,821.8,1812,16.6,-6.9,-6.1,19,19,2.77,334,3.8,0
2025-11-05 23:16:55,-108.5225,39.1176,821.1,1819,16.6,-6.9,-6.2,19,19,2.77,335,3.6,0
2025-11-05 23:16:56,-108.5225,39.1176,820.4,1826,16.5,-7.0,-6.2,19,19,2.77,335,3.5,0
2025-11-05 23:16:57,-108.5225,39.1176,819.7,1834,16.5,-7.0,-6.2,19,19,2.76,336,3.3,0
2025-11-05 23:16:58,-108.5225,39.1176,819.0,1841,16.4,-7.0,-6.2,19,19,2.76,336,3.2,0
2025-11-05 23:16:59,-108.5225,39.1176,818.3,1848,16.4,-7.0,-6.2,19,19,2.76,337,3.0,0
2025-11-05 23:17:00,-108.5225,39.1176,817.6,1855,16.4,-7.0,-6.2,19,19,2.76,338,2.9,0
2025-11-05 23:17:01,-108.5225,39.1176,817.0,1861,16.3,-7.1,-6.3,19,19,2.76,339,2.7,0
2025-11-05 23:17:02,-108.5225,39.1175,816.4,1868,16.3,-7.1,-6.3,19,19,2.76,340,2.6,0
2025-11-05 23:17:03,-108.5225,39.1175,815.8,1874,16.2,-7.1,-6.3,20,20,2.76,341,2.4,0
2025-11-05 23:17:04,-108.5225,39.1175,815.2,1880,16.2,-7.1,-6.3,20,20,2.75,342,2.3,0
2025-11-05 23:17:05,-108.5225,39.1175,814.6,1887,16.2,-7.1,-6.3,20,20,2.75,343,2.1,0
2025-11-05 23:17:06,-108.5225,39.1175,814.0,1893,16.1,-7.1,-6.3,20,20,2.75,344,2.1,0
2025-11-05 23:17:07,-108.5225,39.1175,813.5,1898,16.1,-7.1,-6.3,20,20,2.75,346,2.0,0
2025-11-05 23:17:08,-108.5225,39.1175,812.9,1904,16.0,-7.1,-6.3,20,20,2.75,347,2.0,0
2025-11-05 23:17:09,-108.5225,39.1174,812.4,1909,16.0,-7.2,-6.3,20,20,2.75,349,1.9,0
2025-11-05 23:17:10,-108.5225,39.1174,811.8,1915,16.0,-7.2,-6.4,20,20,2.75,351,1.8,0
2025-11-05 23:17:11,-108.5225,39.1174,811.3,1921,15.9,-7.2,-6.4,20,20,2.75,353,1.8,0
2025-11-05 23:17:12,-108.5225,39.1174,810.7,1927,15.9,-7.2,-6.4,20,20,2.75,356,1.7,0
2025-11-05 23:17:13,-108.5225,39.1174,810.2,1933,15.8,-7.2,-6.4,20,20,2.75,359,1.6,0
2025-11-05 23:17:14,-108.5225,39.1174,809.6,1939,15.8,-7.2,-6.4,20,20,2.75,3,1.6,0
2025-11-05 23:17:15,-108.5225,39.1174,809.0,1945,15.7,-7.2,-6.4,20,20,2.75,8,1.5,0
2025-11-05 23:17:16,-108.5225,39.1174,808.5,1951,15.7,-7.3,-6.4,20,20,2.74,14,1.5,0
2025-11-05 23:17:17,-108.5225,39.1174,807.9,1957,15.6,-7.3,-6.5,20,20,2.74,22,1.4,0
